country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,corruption_perceptions,avg_happiness_score,annual_average,avg_annual_region,avg_annual,happiness_category
Honduras,5.569022232888888,0.7566607447777778,1.0250054536666664,0.6213877179999999,0.48047310411111116,0.22248745255555555,0.07449583944444443,5.569022232888889,5.444338486093167,5.9905635228708,5.444338486093167,Moderately happy
Hong Kong S.A.R. of China,5.442711104444444,1.5667956556666667,1.1108627992222224,0.9705270087777778,0.467355018,0.2738329663333333,0.33412546511111113,5.4427111044444425,5.444338486093167,5.732149987592592,5.444338486093167,Moderately happy
Hungary,5.640711105333334,1.3319643389999998,1.2828813875555556,0.6897430357777777,0.3310094801111111,0.08532143344444446,0.03860945666666667,5.640711105333336,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Iceland,7.522277788777779,1.5114571808888888,1.4581812771111113,0.8581739475555555,0.6562392647777777,0.3634389387777778,0.15480748122222224,7.522277788777777,5.444338486093167,6.811899206957673,5.444338486093167,Happy
India,4.077144438,0.8279052673333331,0.5500868058888889,0.4601330841111111,0.5380932502222223,0.21940455244444443,0.0986616518888889,4.077144438,5.444338486093167,4.463861366407407,5.444338486093167,Not happy
Indonesia,5.267511141000001,1.0240632559999998,1.0720639545555555,0.5224947507777777,0.5311072101111112,0.5164345683333332,0.025979527555555552,5.267511141000001,5.444338486093167,5.37134784239352,5.444338486093167,Moderately happy
Iran,4.73371110111111,1.1529528457777778,0.7270958253333334,0.6465285583333333,0.2974764533333334,0.3091624281111111,0.10886028733333335,4.733711101111111,5.444338486093167,5.268499088774629,5.444338486093167,Not happy
Iraq,4.684755585555556,1.0753287993333336,0.8472244244444446,0.5014067964444444,0.2607448427777778,0.161972148,0.08484674966666667,4.684755585555556,5.444338486093167,5.268499088774629,5.444338486093167,Not happy
Ireland,6.994744463222222,1.6304403796666667,1.375430838666667,0.8268148132222222,0.5930822534444444,0.31676947977777775,0.3395990461111111,6.99474446322222,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Israel,7.20373332688889,1.4188973453333333,1.3143163042222221,0.8560552161111112,0.46157756455555554,0.26150493900000005,0.12491894999999999,7.203733326888888,5.444338486093167,5.268499088774629,5.444338486093167,Happy
